DATE,INB-PROD,INBOUND,INTERNAL,NARROW,NARROW-OUT,NARROW-RPL,O-PND-OUT,OUT-CONT,OUTBOUND
12/1/2021,2031,2970,531,550,171,10,149,1442,1955
12/2/2021,2186,3405,658,398,374,25,283,927,2268
12/3/2021,1644,3517,386,386,201,36,172,733,2040
12/4/2021,803,3195,303,249,342,31,225,815,2301
12/5/2021,1702,1727,145,28,41,4,41,10,481
12/6/2021,556,2799,376,483,107,20,201,821,1608
12/7/2021,1702,3459,422,330,224,16,251,834,2103
12/8/2021,1703,3892,647,314,217,27,176,1038,2058
12/9/2021,2242,4492,566,266,315,24,309,773,2269
12/10/2021,2082,3127,434,321,162,24,169,715,2151
12/11/2021,1208,3808,439,39,304,21,345,977,2350
12/13/2021,1025,2869,409,250,237,11,189,813,2018
12/14/2021,2347,4361,395,328,320,23,346,1237,1843
12/15/2021,2219,4405,463,314,194,45,208,1144,1907
12/16/2021,2298,3397,595,178,415,14,324,1049,2133
12/17/2021,2290,3268,685,213,391,10,323,976,2572
12/18/2021,1706,2769,473,174,422,4,265,837,2448
12/19/2021,345,151,177,45,75,16,7,57,846
12/20/2021,667,1762,284,331,248,16,173,1086,1296
12/21/2021,2020,4286,550,383,304,16,173,589,2054
12/22/2021,2102,3661,445,299,409,18,153,528,1945
12/23/2021,1821,3062,454,285,458,16,200,871,2071
12/24/2021,1932,2548,282,503,335,14,257,742,1862
12/25/2021,62,300,48,4,92,5,31,836,361
12/27/2021,515,2012,166,196,331,12,158,1474,1484
12/28/2021,1325,3033,454,222,405,19,228,1463,1769
12/29/2021,748,2122,265,313,355,12,216,1197,2067
12/30/2021,713,2441,1004,328,328,21,512,814,1551
12/31/2021,24,1490,312,79,222,3,264,13,1572
